"Otic","Lens","Olfactory","Adeno","Trygem","Epi"
"0610040J01Rik","0610040J01Rik","0610040J01Rik","1190005I06Rik","1190005I06Rik","0610040J01Rik"
"1700019D03Rik","1190005I06Rik","1190005I06Rik","1810009A15Rik","4930512B01Rik","1190005I06Rik"
"2510046G10Rik","1600014C10Rik","1600014C10Rik","2510046G10Rik","4930523C07Rik","1700010I14Rik"
"4930523C07Rik","1700010I14Rik","1700010I14Rik","2810408A11Rik","A430033K04Rik","1810009A15Rik"
"4930579G24Rik","1700066M21Rik","1700019D03Rik","4732471J01Rik","A730049H05Rik","2510046G10Rik"
"4933415A04Rik","1700088E04Rik","1700037C18Rik","6530409C15Rik","AI661453","4930512B01Rik"
"6530409C15Rik","1810009A15Rik","1700066M21Rik","A430033K04Rik","AU041133","4930523C07Rik"
"Aacs","2010315B03Rik","1700088E04Rik","AU041133","Abca1","4930579G24Rik"
"Aard","2510009E07Rik","1810009A15Rik","Abca1","Abca4","4933415A04Rik"
"Abcc4","2510046G10Rik","2010315B03Rik","Abca4","Abcg5","AI661453"
"Abcg1","2810021J22Rik","2510009E07Rik","Acad11","Abhd5","AU041133"
"Abhd5","2810408A11Rik","2510046G10Rik","Acox1","Abtb2","Aacs"
"Abtb2","4632404H12Rik","2610042L04Rik","Acvr1b","Acox1","Aard"
"Acad11","4732471J01Rik","2810021J22Rik","Adam23","Adamts17","Abca1"
"Accs","4930512B01Rik","2810408A11Rik","Adamts1","Agtrap","Abca4"
"Acsl1","4930523C07Rik","4632404H12Rik","Adamts12","Ahnak","Abcc4"
"Acvr1b","4930579G24Rik","4732471J01Rik","Adarb1","Aldh1a3","Abcg1"
"Adam15","4933415A04Rik","4930512B01Rik","Aff2","Angptl2","Abhd5"
"Adam19","5730409E04Rik","4930523C07Rik","Agtrap","Anxa2","Abtb2"
"Adam23","5730507C01Rik","4930579G24Rik","Ajap1","Anxa3","Acad11"
"Adamts17","6530409C15Rik","4933415A04Rik","Aldh1a3","Anxa6","Acadvl"
"Adarb1","A330008L17Rik","5730507C01Rik","Aldh5a1","Ap1s2","Accs"
"Adcy6","A430033K04Rik","6430550D23Rik","Angptl2","Apcdd1","Acox1"
"Aldh5a1","A730049H05Rik","6530409C15Rik","Ank","Arfgef3","Acvr1b"
"Ank","A930005H10Rik","A230083G16Rik","Ankrd24","Arg1","Adam15"
"Ankrd13b","AI661453","A430033K04Rik","Anxa11","Arhgap23","Adam19"
"Ankrd24","AU041133","A930005H10Rik","Anxa2","Arhgap27","Adamts12"
"Ano10","Aacs","AI661453","Arhgap27","Arhgap45","Adamts17"
"Apcdd1","Abat","AU041133","Arhgef10","Arhgef10","Adarb1"
"Apobec3","Abca1","Aacs","Arhgef28","Arhgef9","Agtr1a"
"Arfgef3","Abca3","Abat","Arhgef9","Arl4a","Ahnak"
"Arg1","Abca4","Abca1","Armc6","Asah2","Aldh5a1"
"Arg2","Abcb6","Abca13","Armcx6","Atg2a","Aldoc"
"Arhgef10l","Abcc10","Abca2","Asah2","Atp1b1","Alg12"
"Arhgef3","Abcc4","Abca3","Atg2a","Atp8b1","Amacr"
"Arhgef38","Abcg1","Abca4","Atp10a","Atp9a","Angptl2"
"Armc6","Abhd15","Abcb6","Atp7b","B9d2","Ank"
"Asic2","Abhd3","Abcc10","Atp8a2","Baiap2","Ankrd24"
"Atg4a","Abhd4","Abcc4","Atxn1","Batf3","Ano10"
"Atp10a","Abhd5","Abcg1","Atxn7l2","Bcl6","Anxa2"
"Atp1b1","Abtb2","Abhd14b","B3galt1","Bcs1l","Anxa3"
"Atp8b1","Acad10","Abhd15","B3galt2","Blvrb","Anxa6"
"Atxn1","Acad11","Abhd4","B9d2","Bmp4","Ap1s2"
"Atxn7l2","Acadvl","Abhd5","Bahd1","Bnc2","Apcdd1"
"B3galt1","Acbd4","Abtb2","Bbs12","Boc","Apobec3"
"B3galt2","Accs","Acacb","Bcs1l","Borcs6","Ar"
"B4galnt1","Ackr3","Acad11","Bdnf","Btbd6","Arfgef3"
"B4galt5","Acot2","Acadvl","Bmp4","Btg2","Arg1"
"Bag3","Acox1","Acap3","Btbd6","Cadm3","Arhgap23"
"Baiap2","Acsf2","Accs","Btg2","Calcoco1","Arhgap27"
"Batf3","Acsf3","Ackr3","Cacna2d1","Car13","Arhgap45"
"Bbs12","Acsl1","Acot2","Calcoco1","Card10","Arhgap6"
"Bmp1","Actn2","Acox1","Cap2","Caskin2","Arhgef10"
"Boc","Acvr1b","Acsf2","Car10","Casz1","Arhgef10l"
"Borcs6","Adam15","Acsf3","Car13","Cblc","Arhgef3"
"Cacna1c","Adam23","Acsl1","Carf","Cbln1","Arhgef9"
"Cacna2d1","Adamts1","Acss2","Casp7","Cbx7","Arl4a"
"Cacna2d3","Adamts12","Actn2","Catsper2","Ccdc102a","Armc6"
"Cap2","Adamts17","Acvr1b","Ccdc125","Ccdc126","Armc7"
"Car12","Adamts5","Adam15","Ccdc51","Ccdc148","Armcx6"
"Casp7","Adarb1","Adam23","Ccdc68","Ccdc181","Asah2"
"Ccdc125","Adck2","Adamts1","Ccdc73","Ccdc68","Asic2"
"Ccdc160","Adcy1","Adamts12","Ccnb1ip1","Ccdc80","Aspn"
"Ccdc163","Adcy6","Adamts17","Ccng1","Cchcr1","Atg2a"
"Ccdc192","Adgrg1","Adamts5","Cd36","Ccnb1ip1","Atp10a"
"Ccdc33","Afap1l2","Adamts7","Cda","Ccng1","Atp1b1"
"Ccdc51","Afmid","Adarb1","Cdc42ep3","Cd36","Atp8a2"
"Ccdc73","Agbl4","Adck2","Cdh11","Cd44","Atxn7l2"
"Ccnb1ip1","Agbl5","Adcy1","Cenpv","Cda","B3galt1"
"Cd44","Agtrap","Adcy6","Cfap299","Cdc42ep3","B3galt2"
"Cda","Ahnak","Adcy7","Cfap77","Cdh11","B4galt5"
"Cdc42ep1","Aim2","Adcy9","Chst15","Cdkn1a","B9d2"
"Cdc42ep4","Ak5","Adgrg1","Cldn9","Chmp4c","Bag3"
"Cdh11","Akr1b10","Aff2","Clstn2","Chtf8","Bahd1"
"Cdh6","Aldh1a1","Afmid","Cltb","Cited1","Baiap2"
"Cdkn1a","Aldh1a3","Agbl4","Clu","Cldn9","Batf3"
"Cdr2l","Aldh1a7","Agbl5","Cntln","Clip2","Bcl6"
"Cdyl2","Aldh3a2","Agtr1a","Cobl","Clu","Blvrb"
"Celf4","Aldh5a1","Agtrap","Col11a1","Cnih2","Bmp1"
"Cenpv","Aldh6a1","Aifm3","Col13a1","Cnrip1","Bmp4"
"Cep85l","Alg12","Aim2","Col5a2","Cobl","Bnc2"
"Chmp4c","Alkbh4","Ajap1","Cox15","Col16a1","Boc"
"Chst10","Alyref2","Ak1","Cox6b2","Copz2","Borcs6"
"Chst14","Amacr","Ak5","Cpeb3","Coq10a","Btbd6"
"Chst2","Amy1","Akr1b10","Cpm","Coro2b","Btg2"
"Chst9","Angel1","Alas2","Cpne5","Cox6b2","C1ql4"
"Chtf8","Angptl2","Aldh1a3","Crb2","Cped1","Cacna2d1"
"Cited1","Angptl4","Aldh3a2","Crispld1","Cpne4","Cacng4"
"Cited4","Ank","Aldh5a1","Crnde","Cpne5","Calcoco1"
"Cldn10","Ankle1","Aldh6a1","Cryab","Cracr2b","Calcrl"
"Cldn14","Ankrd13b","Alg12","Ctsc","Crb2","Cap2"
"Cldn9","Ankrd24","Alkbh4","Ctsf","Creb3","Car10"
"Clip2","Anks1b","Alyref2","Ctxn3","Crip1","Car12"
"Clstn2","Ano10","Amacr","Cyp26a1","Crnde","Card10"
"Cnnm4","Antxr1","Amer2","Cyp26c1","Cryab","Carf"
"Cnp","Anxa11","Amigo1","Dbp","Cryl1","Caskin2"
"Cnr1","Anxa2","Amy1","Dclk1","Csrp1","Casp7"
"Cntln","Anxa3","Angel1","Dcxr","Ctbs","Catsper2"
"Cntn4","Anxa4","Angptl1","Ddc","Ctns","Cbarp"
"Col11a1","Anxa6","Angptl2","Ddias","Ctsc","Ccdc102a"
"Col25a1","Ap1g2","Angptl3","Ddx25","Ctsf","Ccdc125"
"Col26a1","Ap1s2","Angptl4","Depdc7","Cyp26a1","Ccdc126"
"Col27a1","Ap3b2","Ank","Dffa","Cyp7b1","Ccdc148"
"Col9a1","Ap4b1","Ankle1","Dgkk","Dact1","Ccdc150"
"Colgalt2","Ap5s1","Ankrd13b","Dhtkd1","Dact2","Ccdc160"
"Coro2b","Ap5z1","Ankrd13d","Dlg2","Dbndd1","Ccdc181"
"Cox15","Apcdd1","Ankrd22","Dlgap1","Dcc","Ccdc192"
"Cpeb3","Aph1b","Ankrd24","Dmbx1","Dcdc2a","Ccdc51"
"Cpne8","Apobec3","Anks1b","Dmrt3","Dclk1","Ccdc68"
"Crispld1","Apoc1","Anks6","Dmrta1","Ddias","Ccdc73"
"Crnde","Aqp12","Ano1","Dmrta2","Ddx25","Ccdc80"
"Cryl1","Arfgef3","Ano10","Dnajc16","Decr2","Cchcr1"
"Csrp1","Arg1","Antxr1","Dnajc4","Dffa","Ccnb1ip1"
"Ctbs","Arg2","Anxa11","Dpp6","Dgat2","Ccng1"
"Ctu1","Arhgap23","Anxa6","Dscam","Dgkk","Cd36"
"Ctxn3","Arhgap27","Ap1s2","Dusp18","Dkk1","Cd44"
"Cyth1","Arhgap31","Ap4b1","Dusp5","Dlgap1","Cda"
"D430041D05Rik","Arhgap33","Ap5s1","E2f2","Dll1","Cdc42ep3"
"Daam2","Arhgap45","Ap5z1","Ebf4","Dlx3","Cdc42ep4"
"Dact1","Arhgap6","Apcdd1","Edn1","Dmbx1","Cdh11"
"Dact2","Arhgef10","Apln","Efna1","Dnajc4","Cdh6"
"Dcc","Arhgef10l","Apobec3","Egr1","Dnal1","Cdkn1a"
"Dclk1","Arhgef28","Apoc1","Eif4ebp3","Dock3","Cdr2l"
"Ddias","Arhgef39","Apol7d","Elavl4","Dscam","Cdyl2"
"Dgat2","Arhgef9","Aqp12","Elovl4","Dusp18","Celf4"
"Dgkh","Arl4a","Ar","Endod1","Dusp23","Cenpv"
"Dhtkd1","Armc5","Arap1","Enox1","Dusp3","Cep85l"
"Dlgap1","Armc6","Arfgef3","Epha7","E2f2","Chmp4c"
"Dll1","Armc7","Arg1","Eras","Ebf4","Chst9"
"Dnajc16","Armcx6","Arg2","Erbb4","Edil3","Cited1"
"Dock3","Arpin","Arhgap23","Ermn","Edn1","Cldn10"
"Dph2","Arrb1","Arhgap27","Esrra","Edn3","Cldn9"
"Dpp6","Arsb","Arhgap4","Esrrg","Egr1","Clip2"
"Dpyd","Asah2","Arhgap45","Etv1","Elf3","Cltb"
"Dqx1","Asb1","Arhgap6","Etv5","Elf5","Cnih2"
"Dusp3","Asic2","Arhgef10","Exoc8","Elovl7","Cnp"
"Dusp5","Aspn","Arhgef10l","Ezh1","Emx1","Cntln"
"E2f2","Ass1","Arhgef28","Faah","Epha7","Cntn4"
"Ebf3","Atg2a","Arhgef3","Faap100","Eras","Col11a1"
"Ecm2","Atg4a","Arhgef39","Faap24","Ets1","Col13a1"
"Edil3","Atg9a","Arhgef4","Fahd2a","Etv5","Col25a1"
"Ednra","Atl1","Arhgef9","Fam171a2","Eva1b","Col26a1"
"Eef2k","Atoh8","Arl10","Fam53b","Ezh1","Copz2"
"Eif4ebp3","Atp10a","Arl4a","Fan1","F2rl1","Coq10a"
"Eif5a2","Atp1b1","Arl4d","Fancb","Fahd2a","Coro2b"
"Elk3","Atp2b4","Armc5","Fastkd5","Fam114a1","Cox15"
"Elovl4","Atp2c2","Armc6","Fat3","Fam171a2","Cox6b2"
"Elovl7","Atp6v0e2","Armc7","Fezf1","Fam221a","Cped1"
"Emid1","Atp8a2","Armcx6","Fgf10","Fam222a","Cpm"
"Enox1","Atp8b1","Arpin","Fgf14","Fgf8","Cpne5"
"Enpp2","Atp8b2","Arsb","Fgf16","Fgf9","Cpne8"
"Entpd3","Atp9a","Arsg","Fgf5","Fhod1","Crb2"
"Epb41l1","Atxn7l2","Asah2","Fgf8","Fig4","Creb3"
"Epdr1","Awat2","Ascl1","Fig4","Fkbp14","Crip1"
"Epha7","Axl","Asphd2","Flnc","Fkbp1b","Crispld1"
"Esrra","Azin2","Aspn","Flrt2","Flnc","Crnde"
"Ets1","B3galnt1","Ass1","Foxg1","Flrt2","Cryab"
"Etv1","B3galt1","Atg2a","Foxp2","Flt1","Cryl1"
"Etv4","B3galt2","Atg4a","Fry","Fos","Csgalnact2"
"Etv5","B4galnt1","Atl1","Frzb","Foxi2","Csrnp3"
"Eva1b","B4galt5","Atp10a","Fzd4","Foxj2","Csrp1"
"Faap100","B9d2","Atp1b1","Fzd5","Foxp2","Ctbs"
"Fadd","BC048679","Atp2b4","Gabra4","Fry","Ctsc"
"Fam13a","Bag3","Atp6v0e2","Gabrb3","Gadd45b","Ctsf"
"Fam222a","Bahd1","Atp7b","Gad2","Gadd45g","Ctxn3"
"Fam43a","Baiap2","Atp8a2","Gadd45b","Galnt18","Cyp1b1"
"Fam53b","Barx2","Atp8b1","Galm","Gcnt1","Cyp26a1"
"Fam78b","Batf3","Atp8b2","Galnt13","Gjb5","Cyp4f16"
"Fam89a","Bbs1","Atp9a","Galnt14","Gm14305","Cyp7b1"
"Fan1","Bbs12","Atxn1","Gcnt1","Gm3696","Dact1"
"Fancb","Bche","Atxn7l2","Gdpgp1","Gm38393","Dact2"
"Fat3","Bcl2l2","Awat2","Gm14305","Gm5577","Dcc"
"Fbxo44","Bcl6","Azin2","Gm266","Gmppa","Decr2"
"Fdxr","Bcs1l","B3galnt1","Gm3696","Gnao1","Derl3"
"Fgf10","Bdh1","B3galt1","Gm38393","Gng11","Dffa"
"Fgf12","Bdh2","B3galt2","Gm5577","Gpr153","Dgat2"
"Fgf15","Bdnf","B3gat2","Gm5617","Gpr19","Dgkh"
"Fgf3","Begain","B4galnt1","Gm6712","Gprc5a","Dgkk"
"Fgf4","Bend6","B4galt5","Gmfg","Grem1","Dhtkd1"
"Fgf8","Bfsp2","B530045E10Rik","Gmppa","Gucd1","Dhx34"
"Fgf9","Bhlhe41","B930036N10Rik","Gna14","Hacd4","Dkk1"
"Fgfrl1","Bloc1s3","B9d2","Gnao1","Hdac5","Dlgap1"
"Fhdc1","Blvrb","BC025920","Gpam","Hebp1","Dmrt3"
"Fkbp14","Bmerb1","Bag3","Gpr19","Hexb","Dnah7b"
"Foxg1","Bmp1","Bahd1","Gpt2","Hhip","Dnajc16"
"Foxi2","Bmp4","Baiap2","Gramd1b","Hpn","Dnajc4"
"Gabrb3","Bnc1","Barx1","Gsc","Hs1bp3","Dnal1"
"Gabrg3","Bnc2","Barx2","Hcn1","Hs3st3b1","Dock3"
"Gad2","Bnipl","Batf3","Hdac5","Hsdl2","Dpp6"
"Galnt13","Boc","Bbs1","Hectd2","Hspb8","Dusp18"
"Gatm","Borcs6","Bbs10","Hes5","Hvcn1","Dusp3"
"Gbx2","Brat1","Bbs12","Hesx1","Id4","Dusp5"
"Gcnt1","Btbd6","Bche","Hey2","Iffo2","Ebf2"
"Gdpd5","Btd","Bcl11a","Hhat","Ifnlr1","Ecm2"
"Gdpgp1","Btg2","Bcl11b","Hk1","Igsf10","Edil3"
"Gfra1","C030034I22Rik","Bcl2l2","Hpse2","Ikzf4","Edn1"
"Gimap9","C1ql1","Bcl6","Hs1bp3","Il17d","Edn3"
"Glrb","C1qtnf4","Bcs1l","Hs3st3b1","Il17re","Efna1"
"Gm14305","Cacna1c","Bdh1","Hvcn1","Ilvbl","Egfr"
"Gm266","Cacna2d1","Bdh2","Hyls1","Inpp4a","Egr1"
"Gm6710","Cacna2d3","Bdnf","Ift172","Inpp5k","Eif4ebp3"
"Gna14","Cacng4","Bhlhe41","Igfbp3","Iqsec2","Elf3"
"Gorasp1","Cacng7","Bloc1s3","Ikzf4","Irs4","Elf5"
"Gpam","Cadm2","Blvra","Il15","Irx1","Elk3"
"Gpr155","Cage1","Blvrb","Il33","Irx3","Elovl4"
"Gpr161","Calcoco1","Bmp1","Ina","Irx5","Elovl7"
"Gpr27","Camk1g","Bmp4","Insig1","Jam2","Emid1"
"Gprc5a","Camk4","Bmp8b","Irs4","Kcnb2","Emx1"
"Gprc5b","Camta2","Bnc2","Irx1","Kcnd3","Enox1"
"Gpt2","Cap2","Bnipl","Irx3","Kcnj3","Entpd3"
"Gpx3","Capn1","Boc","Irx5","Kcnn2","Epb41l1"
"Gramd1b","Car13","Borcs6","Isl2","Kctd12b","Epdr1"
"Gsap","Card10","Brat1","Ism1","Kctd6","Epg5"
"Gucd1","Carf","Btbd19","Kbtbd3","Kdelr3","Esrra"
"Hbegf","Caskin2","Btbd6","Kcnc3","Kifc3","Esrrg"
"Hebp1","Casp7","Btd","Kcnd2","Klf11","Etv1"
"Hectd2","Casz1","Btg2","Kcnj3","Klf8","Etv4"
"Hexb","Catsper2","Bves","Kcnk2","Kptn","Etv5"
"Hey2","Cavin3","C030034I22Rik","Kcnq3","L1td1","Eva1b"
"Hhat","Cbarp","C130026L21Rik","Kctd12b","Lancl3","F2rl1"
"Hk1","Cblc","C1ql1","Kctd6","Lck","Faap100"
"Hmx2","Cbln2","C1qtnf4","Kif21b","Lcmt2","Fadd"
"Hmx3","Cbx4","C2cd2l","Kif26a","Ldoc1","Fahd2a"
"Hoxb2","Cbx7","C730034F03Rik","Kif6","Lfng","Fam114a1"
"Hpn","Cbx8","Cacna1c","Kif7","Limk1","Fam13a"
"Hpse2","Cc2d1a","Cacna2d1","Kitl","Lmf2","Fam13c"
"Hs3st1","Ccdc102a","Cacna2d3","Klf8","Lmo1","Fam171a2"
"Hs3st3a1","Ccdc125","Cacng4","Klhl14","Lmod1","Fam221a"
"Hs3st3b1","Ccdc126","Cacng7","Kptn","Lmx1a","Fam78b"
"Hs3st4","Ccdc150","Cadm2","L1td1","Lrp11","Fan1"
"Hsd11b2","Ccdc157","Cadm4","Lancl3","Lrrc57","Fancb"
"Hvcn1","Ccdc160","Cage1","Lcmt2","Lrrn4","Fat3"
"Hyls1","Ccdc162","Calcoco1","Lhpp","Lrsam1","Fbxl15"
"Id4","Ccdc163","Camk1g","Lifr","Lyn","Fbxo44"
"Iffo2","Ccdc181","Camk2n2","Lmf2","Lypd2","Fbxo6"
"Ifnlr1","Ccdc30","Camk4","Lmo1","Lypd6","Fdxr"
"Ift172","Ccdc39","Cap2","Lmo3","Mab21l2","Fgf10"
"Igfbp3","Ccdc51","Car12","Lrp11","Macrod1","Fgf15"
"Igsf11","Ccdc62","Car13","Lrrc7","Man1a","Fgf3"
"Ilvbl","Ccdc68","Car3","Lrrn4","Man1c1","Fgf4"
"Ina","Ccdc80","Carf","Lypd2","Mansc4","Fgf8"
"Inpp1","Ccdc82","Caskin2","Lypd6","Maob","Fgf9"
"Inpp4a","Cchcr1","Casp7","Lyrm1","Marveld3","Fgfbp1"
"Inpp5k","Ccl27a","Casz1","Mab21l2","Metrnl","Fhdc1"
"Insig1","Ccn2","Catsper2","Man1c1","Mfsd12","Fhod1"
"Irx1","Ccng1","Cbarp","Maob","Mical1","Fig4"
"Irx3","Cd164l2","Cblc","Map2","Mindy1","Fkbp14"
"Irx5","Cd1d1","Cbx4","Map7d3","Mindy2","Flnc"
"Ism1","Cd200","Cbx7","Marveld3","Mindy4","Flt1"
"Itpr2","Cd36","Cbx8","Masp1","Mir100hg","Fos"
"Jrk","Cd44","Cc2d1a","Mavs","Mir99ahg","Fosb"
"Kcna2","Cd46","Ccdc102a","Mblac2","Mlycd","Foxg1"
"Kcnb2","Cd59b","Ccdc122","Mcf2","Mme","Foxi2"
"Kcnj3","Cdc42bpg","Ccdc125","Mcoln1","Mmp2","Foxl2"
"Kcnk2","Cdc42ep3","Ccdc126","Mcrip2","Mn1","Foxp2"
