"Otic","Lens","Olfactory","Adeno","Trygem","Epi"
NA,"Thbs3","S100a1",NA,NA,NA
NA,"Them6","S100a13",NA,NA,NA
NA,"Thrb","S100a16",NA,NA,NA
NA,"Thsd7b","S1pr2",NA,NA,NA
NA,"Thtpa","Sacs",NA,NA,NA
NA,"Tiam2","Samd14",NA,NA,NA
NA,"Timp3","Samd4",NA,NA,NA
NA,"Tinagl1","Samd5",NA,NA,NA
NA,"Tlcd2","Sat2",NA,NA,NA
NA,"Tm7sf2","Sbsn",NA,NA,NA
NA,"Tmbim1","Scarb2",NA,NA,NA
NA,"Tmcc2","Scn5a",NA,NA,NA
NA,"Tmed8","Scn9a",NA,NA,NA
NA,"Tmeff2","Scrn1",NA,NA,NA
NA,"Tmem102","Scube3",NA,NA,NA
NA,"Tmem129","Sdc3",NA,NA,NA
NA,"Tmem132c","Sdk2",NA,NA,NA
NA,"Tmem143","Sdsl",NA,NA,NA
NA,"Tmem14a","Sec22c",NA,NA,NA
NA,"Tmem150a","Sec24d",NA,NA,NA
NA,"Tmem17","Sema3e",NA,NA,NA
NA,"Tmem170b","Sema5b",NA,NA,NA
NA,"Tmem176a","Sema6d",NA,NA,NA
NA,"Tmem176b","Serhl",NA,NA,NA
NA,"Tmem177","Serinc5",NA,NA,NA
NA,"Tmem178","Serp2",NA,NA,NA
NA,"Tmem18","Serpinf1",NA,NA,NA
NA,"Tmem184a","Serpini1",NA,NA,NA
NA,"Tmem198b","Sertad4",NA,NA,NA
NA,"Tmem218","Sesn2",NA,NA,NA
NA,"Tmem231","Setmar",NA,NA,NA
NA,"Tmem241","Sfmbt2",NA,NA,NA
NA,"Tmem35b","Sfxn4",NA,NA,NA
NA,"Tmem37","Sgcb",NA,NA,NA
NA,"Tmem38a","Sgk3",NA,NA,NA
NA,"Tmem42","Sgms2",NA,NA,NA
NA,"Tmem44","Sgpp1",NA,NA,NA
NA,"Tmem50b","Sgtb",NA,NA,NA
NA,"Tmem53","Sh2b2",NA,NA,NA
NA,"Tmem69","Sh3bp2",NA,NA,NA
NA,"Tmem79","Sh3rf3",NA,NA,NA
NA,"Tmem86a","Shc4",NA,NA,NA
NA,"Tmem88","Shd",NA,NA,NA
NA,"Tmem94","Shisa6",NA,NA,NA
NA,"Tmem98","Shtn1",NA,NA,NA
NA,"Tmem9b","Siae",NA,NA,NA
NA,"Tmsb15b1","Siah2",NA,NA,NA
NA,"Tmtc1","Sipa1",NA,NA,NA
NA,"Tnc","Sipa1l2",NA,NA,NA
NA,"Tnfrsf10b","Sirt3",NA,NA,NA
NA,"Tnfsf9","Sirt4",NA,NA,NA
NA,"Tnik","Six2",NA,NA,NA
NA,"Tnip1","Six3",NA,NA,NA
NA,"Tnk1","Six5",NA,NA,NA
NA,"Tomm40l","Six6",NA,NA,NA
NA,"Top1mt","Slc10a3",NA,NA,NA
NA,"Tpcn1","Slc12a4",NA,NA,NA
NA,"Tpra1","Slc12a9",NA,NA,NA
NA,"Tradd","Slc16a13",NA,NA,NA
NA,"Traf3ip2","Slc16a2",NA,NA,NA
NA,"Tram1l1","Slc16a6",NA,NA,NA
NA,"Trdmt1","Slc18a1",NA,NA,NA
NA,"Trib2","Slc19a2",NA,NA,NA
NA,"Tril","Slc1a3",NA,NA,NA
NA,"Trim13","Slc1a4",NA,NA,NA
NA,"Trim29","Slc22a14",NA,NA,NA
NA,"Trim3","Slc22a15",NA,NA,NA
NA,"Trim36","Slc22a21",NA,NA,NA
NA,"Trim45","Slc22a5",NA,NA,NA
NA,"Trim56","Slc25a12",NA,NA,NA
NA,"Trim62","Slc25a18",NA,NA,NA
NA,"Trim68","Slc25a19",NA,NA,NA
NA,"Trmt2b","Slc25a20",NA,NA,NA
NA,"Trp53inp1","Slc25a21",NA,NA,NA
NA,"Trp53inp2","Slc25a22",NA,NA,NA
NA,"Tsga10","Slc25a47",NA,NA,NA
NA,"Tshz2","Slc26a10",NA,NA,NA
NA,"Tshz3","Slc26a11",NA,NA,NA
NA,"Tspan15","Slc27a1",NA,NA,NA
NA,"Tspan18","Slc27a2",NA,NA,NA
NA,"Tspan2","Slc27a4",NA,NA,NA
NA,"Tspyl5","Slc27a6",NA,NA,NA
NA,"Ttbk2","Slc29a2",NA,NA,NA
NA,"Ttc9","Slc2a12",NA,NA,NA
NA,"Ttl","Slc2a4",NA,NA,NA
NA,"Ttll10","Slc2a8",NA,NA,NA
NA,"Ttll7","Slc30a4",NA,NA,NA
NA,"Ttpa","Slc35a5",NA,NA,NA
NA,"Ttpal","Slc35c1",NA,NA,NA
NA,"Tubb4a","Slc35d2",NA,NA,NA
NA,"Tubb6","Slc35e3",NA,NA,NA
NA,"Tubd1","Slc36a1",NA,NA,NA
NA,"Tusc1","Slc36a4",NA,NA,NA
NA,"Tvp23a","Slc37a4",NA,NA,NA
NA,"Txndc16","Slc38a7",NA,NA,NA
NA,"Txnl4b","Slc39a13",NA,NA,NA
NA,"Tyk2","Slc39a2",NA,NA,NA
NA,"Ubiad1","Slc43a1",NA,NA,NA
NA,"Uckl1","Slc43a2",NA,NA,NA
NA,"Ulk3","Slc43a3",NA,NA,NA
NA,"Unc13c","Slc45a3",NA,NA,NA
NA,"Unc5d","Slc46a1",NA,NA,NA
NA,"Upk3bl","Slc48a1",NA,NA,NA
NA,"Upp2","Slc4a3",NA,NA,NA
NA,"Urah","Slc4a8",NA,NA,NA
NA,"Urgcp","Slc5a3",NA,NA,NA
NA,"Uros","Slc5a6",NA,NA,NA
NA,"Usp13","Slc6a15",NA,NA,NA
NA,"Usp2","Slc6a8",NA,NA,NA
NA,"Vamp2","Slc7a1",NA,NA,NA
NA,"Vars2","Slc7a11",NA,NA,NA
NA,"Vash1","Slc7a2",NA,NA,NA
NA,"Vasn","Slc7a3",NA,NA,NA
NA,"Vat1l","Slc9a9",NA,NA,NA
NA,"Vdr","Slco3a1",NA,NA,NA
NA,"Vegfc","Slco5a1",NA,NA,NA
NA,"Vgll3","Slitrk2",NA,NA,NA
NA,"Vill","Slitrk5",NA,NA,NA
NA,"Vldlr","Slx1b",NA,NA,NA
NA,"Vmac","Slx4",NA,NA,NA
NA,"Vps8","Smarcd3",NA,NA,NA
NA,"Vsnl1","Smcr8",NA,NA,NA
NA,"Vwa5a","Smox",NA,NA,NA
NA,"Wdr13","Smpd1",NA,NA,NA
NA,"Wdr17","Smpdl3b",NA,NA,NA
NA,"Wdr38","Smtn",NA,NA,NA
NA,"Wdr45","Smug1",NA,NA,NA
NA,"Wdr47","Snap91",NA,NA,NA
NA,"Wdr5b","Snca",NA,NA,NA
NA,"Wdr62","Sncaip",NA,NA,NA
NA,"Wdr91","Snx21",NA,NA,NA
NA,"Wfikkn1","Snx25",NA,NA,NA
NA,"Wfs1","Snx33",NA,NA,NA
NA,"Whamm","Socs1",NA,NA,NA
NA,"Wnt2","Socs3",NA,NA,NA
NA,"Wnt4","Sorbs3",NA,NA,NA
NA,"Wnt9b","Sorcs1",NA,NA,NA
NA,"Wsb2","Sorcs3",NA,NA,NA
NA,"Wscd1","Sord",NA,NA,NA
NA,"Xkr5","Sostdc1",NA,NA,NA
NA,"Xylb","Sox21",NA,NA,NA
NA,"Ybx2","Sox3",NA,NA,NA
NA,"Yod1","Sp6",NA,NA,NA
NA,"Zbed5","Spa17",NA,NA,NA
NA,"Zbtb45","Spaca6",NA,NA,NA
NA,"Zbtb48","Spag16",NA,NA,NA
NA,"Zbtb49","Spata17",NA,NA,NA
NA,"Zbtb8b","Spin4",NA,NA,NA
NA,"Zc3h6","Spink10",NA,NA,NA
NA,"Zdhhc1","Spire2",NA,NA,NA
NA,"Zdhhc14","Spock3",NA,NA,NA
NA,"Zdhhc24","Spon1",NA,NA,NA
NA,"Zeb2","Spred3",NA,NA,NA
NA,"Zfand2a","Sprtn",NA,NA,NA
NA,"Zfand4","Spry4",NA,NA,NA
NA,"Zfp11","Sptlc3",NA,NA,NA
NA,"Zfp111","Srcin1",NA,NA,NA
NA,"Zfp119a","Srxn1",NA,NA,NA
NA,"Zfp119b","Ss18l1",NA,NA,NA
NA,"Zfp169","Ssc4d",NA,NA,NA
NA,"Zfp189","Ssc5d",NA,NA,NA
NA,"Zfp202","St3gal1",NA,NA,NA
NA,"Zfp235","St3gal4",NA,NA,NA
NA,"Zfp27","St6gal2",NA,NA,NA
NA,"Zfp276","St6galnac2",NA,NA,NA
NA,"Zfp28","St8sia6",NA,NA,NA
NA,"Zfp316","Stambp",NA,NA,NA
NA,"Zfp319","Stambpl1",NA,NA,NA
NA,"Zfp324","Stap2",NA,NA,NA
NA,"Zfp335","Stard5",NA,NA,NA
NA,"Zfp354a","Stard8",NA,NA,NA
NA,"Zfp36","Stard9",NA,NA,NA
NA,"Zfp39","Stat2",NA,NA,NA
NA,"Zfp40","Stat3",NA,NA,NA
NA,"Zfp420","Stat5b",NA,NA,NA
NA,"Zfp429","Stbd1",NA,NA,NA
NA,"Zfp446","Stc1",NA,NA,NA
NA,"Zfp454","Stc2",NA,NA,NA
NA,"Zfp458","Steap2",NA,NA,NA
NA,"Zfp46","Stk10",NA,NA,NA
NA,"Zfp473","Stk11ip",NA,NA,NA
NA,"Zfp493","Stk17b",NA,NA,NA
NA,"Zfp51","Stoml1",NA,NA,NA
NA,"Zfp52","Ston1",NA,NA,NA
NA,"Zfp563","Stox1",NA,NA,NA
NA,"Zfp57","Stx1a",NA,NA,NA
NA,"Zfp583","Stx1b",NA,NA,NA
NA,"Zfp597","Sult4a1",NA,NA,NA
NA,"Zfp61","Susd1",NA,NA,NA
NA,"Zfp623","Svip",NA,NA,NA
NA,"Zfp626","Swsap1",NA,NA,NA
NA,"Zfp628","Syde1",NA,NA,NA
NA,"Zfp653","Syn2",NA,NA,NA
NA,"Zfp667","Syndig1",NA,NA,NA
NA,"Zfp689","Syngap1",NA,NA,NA
NA,"Zfp691","Synj2",NA,NA,NA
NA,"Zfp703","Synm",NA,NA,NA
NA,"Zfp707","Syt1",NA,NA,NA
NA,"Zfp715","Syt11",NA,NA,NA
NA,"Zfp72","Syt13",NA,NA,NA
NA,"Zfp758","Syt5",NA,NA,NA
NA,"Zfp764","Syt7",NA,NA,NA
NA,"Zfp772","Syt9",NA,NA,NA
NA,"Zfp775","Tac2",NA,NA,NA
NA,"Zfp790","Taf1c",NA,NA,NA
NA,"Zfp804b","Tafa2",NA,NA,NA
NA,"Zfp811","Tagln3",NA,NA,NA
NA,"Zfp839","Tal2",NA,NA,NA
NA,"Zfp874a","Taok3",NA,NA,NA
NA,"Zfp882","Tap1",NA,NA,NA
NA,"Zfp9","Tapbp",NA,NA,NA
NA,"Zfp937","Tatdn3",NA,NA,NA
NA,"Zfp940","Tbc1d2",NA,NA,NA
NA,"Zfp947","Tbc1d24",NA,NA,NA
NA,"Zfp948","Tbc1d25",NA,NA,NA
NA,"Zfp951","Tbc1d2b",NA,NA,NA
NA,"Zfp954","Tbc1d30",NA,NA,NA
NA,"Zfp956","Tbc1d8",NA,NA,NA
NA,"Zfp959","Tbc1d8b",NA,NA,NA
NA,"Zfp963","Tbx3",NA,NA,NA
NA,"Zfp971","Tc2n",NA,NA,NA
NA,"Zfp983","Tcea2",NA,NA,NA
NA,"Zfp984","Tcea3",NA,NA,NA
NA,"Zfpm1","Tceal5",NA,NA,NA
NA,"Zfr2","Tceanc",NA,NA,NA
NA,"Zhx3","Tcf19",NA,NA,NA
NA,"Zkscan14","Tcim",NA,NA,NA
NA,"Zkscan2","Tcn2",NA,NA,NA
NA,"Zkscan6","Tctn1",NA,NA,NA
NA,"Zkscan7","Tctn3",NA,NA,NA
NA,"Zmat4","Tdrd7",NA,NA,NA
NA,"Znfx1","Tdrkh",NA,NA,NA
NA,"Zpbp","Tdrp",NA,NA,NA
NA,"Zscan2","Tead4",NA,NA,NA
NA,"Zscan20","Tec",NA,NA,NA
NA,"Zscan25","Tecpr1",NA,NA,NA
NA,"Zscan29","Tekt1",NA,NA,NA
NA,"Zswim9","Tenm1",NA,NA,NA
NA,"Zxdb","Tent5a",NA,NA,NA
NA,NA,"Tepsin",NA,NA,NA
NA,NA,"Tex15",NA,NA,NA
NA,NA,"Tfap2b",NA,NA,NA
NA,NA,"Tgfb2",NA,NA,NA
NA,NA,"Tgfbr2",NA,NA,NA
NA,NA,"Tgfbr3",NA,NA,NA
NA,NA,"Thbs1",NA,NA,NA
NA,NA,"Thbs3",NA,NA,NA
NA,NA,"Them6",NA,NA,NA
NA,NA,"Thrb",NA,NA,NA
NA,NA,"Thsd7a",NA,NA,NA
NA,NA,"Thsd7b",NA,NA,NA
NA,NA,"Thtpa",NA,NA,NA
NA,NA,"Tiam2",NA,NA,NA
NA,NA,"Timp1",NA,NA,NA
NA,NA,"Timp3",NA,NA,NA
NA,NA,"Tlcd2",NA,NA,NA
NA,NA,"Tm6sf1",NA,NA,NA
NA,NA,"Tm7sf2",NA,NA,NA
NA,NA,"Tmc7",NA,NA,NA
NA,NA,"Tmcc2",NA,NA,NA
NA,NA,"Tmed8",NA,NA,NA
NA,NA,"Tmeff2",NA,NA,NA
NA,NA,"Tmem104",NA,NA,NA
NA,NA,"Tmem121",NA,NA,NA
NA,NA,"Tmem125",NA,NA,NA
NA,NA,"Tmem129",NA,NA,NA
NA,NA,"Tmem132c",NA,NA,NA
NA,NA,"Tmem132d",NA,NA,NA
NA,NA,"Tmem143",NA,NA,NA
NA,NA,"Tmem14a",NA,NA,NA
NA,NA,"Tmem150a",NA,NA,NA
NA,NA,"Tmem150c",NA,NA,NA
NA,NA,"Tmem17",NA,NA,NA
NA,NA,"Tmem170b",NA,NA,NA
NA,NA,"Tmem176a",NA,NA,NA
NA,NA,"Tmem176b",NA,NA,NA
NA,NA,"Tmem177",NA,NA,NA
NA,NA,"Tmem178",NA,NA,NA
NA,NA,"Tmem18",NA,NA,NA
NA,NA,"Tmem184a",NA,NA,NA
NA,NA,"Tmem198b",NA,NA,NA
NA,NA,"Tmem218",NA,NA,NA
NA,NA,"Tmem229b",NA,NA,NA
NA,NA,"Tmem231",NA,NA,NA
NA,NA,"Tmem241",NA,NA,NA
NA,NA,"Tmem266",NA,NA,NA
NA,NA,"Tmem268",NA,NA,NA
NA,NA,"Tmem37",NA,NA,NA
NA,NA,"Tmem38a",NA,NA,NA
NA,NA,"Tmem42",NA,NA,NA
NA,NA,"Tmem44",NA,NA,NA
NA,NA,"Tmem50b",NA,NA,NA
NA,NA,"Tmem53",NA,NA,NA
NA,NA,"Tmem59l",NA,NA,NA
NA,NA,"Tmem69",NA,NA,NA
NA,NA,"Tmem79",NA,NA,NA
NA,NA,"Tmem82",NA,NA,NA
NA,NA,"Tmem88",NA,NA,NA
NA,NA,"Tmem94",NA,NA,NA
NA,NA,"Tmem98",NA,NA,NA
NA,NA,"Tmem9b",NA,NA,NA
NA,NA,"Tmod1",NA,NA,NA
NA,NA,"Tmsb15b1",NA,NA,NA
NA,NA,"Tmtc1",NA,NA,NA
NA,NA,"Tnfrsf10b",NA,NA,NA
NA,NA,"Tnfsf9",NA,NA,NA
NA,NA,"Tnip1",NA,NA,NA
NA,NA,"Tnk1",NA,NA,NA
NA,NA,"Tnnt1",NA,NA,NA
NA,NA,"Tomm40l",NA,NA,NA
NA,NA,"Top1mt",NA,NA,NA
NA,NA,"Tor3a",NA,NA,NA
NA,NA,"Tpcn1",NA,NA,NA
NA,NA,"Tpra1",NA,NA,NA
NA,NA,"Tprn",NA,NA,NA
NA,NA,"Tradd",NA,NA,NA
NA,NA,"Traf3ip2",NA,NA,NA
NA,NA,"Trdmt1",NA,NA,NA
NA,NA,"Trib2",NA,NA,NA
NA,NA,"Tril",NA,NA,NA
NA,NA,"Trim13",NA,NA,NA
NA,NA,"Trim16",NA,NA,NA
NA,NA,"Trim25",NA,NA,NA
NA,NA,"Trim3",NA,NA,NA
NA,NA,"Trim36",NA,NA,NA
NA,NA,"Trim45",NA,NA,NA
NA,NA,"Trim56",NA,NA,NA
NA,NA,"Trim68",NA,NA,NA
NA,NA,"Trmt2b",NA,NA,NA
NA,NA,"Trp53inp1",NA,NA,NA
NA,NA,"Trp53inp2",NA,NA,NA
NA,NA,"Tsga10",NA,NA,NA
NA,NA,"Tshz2",NA,NA,NA
NA,NA,"Tshz3",NA,NA,NA
NA,NA,"Tspan15",NA,NA,NA
NA,NA,"Tspan18",NA,NA,NA
NA,NA,"Tspyl5",NA,NA,NA
NA,NA,"Ttbk2",NA,NA,NA
NA,NA,"Ttc12",NA,NA,NA
NA,NA,"Ttc38",NA,NA,NA
NA,NA,"Ttc39a",NA,NA,NA
NA,NA,"Ttc39b",NA,NA,NA
NA,NA,"Ttc41",NA,NA,NA
NA,NA,"Ttc9",NA,NA,NA
NA,NA,"Ttl",NA,NA,NA
NA,NA,"Ttll11",NA,NA,NA
NA,NA,"Ttll3",NA,NA,NA
NA,NA,"Ttll7",NA,NA,NA
NA,NA,"Ttpa",NA,NA,NA
NA,NA,"Ttpal",NA,NA,NA
NA,NA,"Tuba4a",NA,NA,NA
NA,NA,"Tubb4a",NA,NA,NA
NA,NA,"Tubb6",NA,NA,NA
NA,NA,"Tubd1",NA,NA,NA
NA,NA,"Tusc1",NA,NA,NA
NA,NA,"Tvp23a",NA,NA,NA
NA,NA,"Txndc16",NA,NA,NA
NA,NA,"Txnl4b",NA,NA,NA
NA,NA,"Tyk2",NA,NA,NA
NA,NA,"Ubiad1",NA,NA,NA
NA,NA,"Ubxn11",NA,NA,NA
NA,NA,"Uckl1",NA,NA,NA
NA,NA,"Ugt8a",NA,NA,NA
NA,NA,"Unc13c",NA,NA,NA
NA,NA,"Unc5d",NA,NA,NA
NA,NA,"Upk3bl",NA,NA,NA
NA,NA,"Upp1",NA,NA,NA
NA,NA,"Upp2",NA,NA,NA
NA,NA,"Uprt",NA,NA,NA
NA,NA,"Urgcp",NA,NA,NA
NA,NA,"Uros",NA,NA,NA
NA,NA,"Usp13",NA,NA,NA
NA,NA,"Usp2",NA,NA,NA
NA,NA,"Usp27x",NA,NA,NA
NA,NA,"Usp43",NA,NA,NA
NA,NA,"Usp51",NA,NA,NA
NA,NA,"Vamp2",NA,NA,NA
NA,NA,"Vars2",NA,NA,NA
NA,NA,"Vash1",NA,NA,NA
NA,NA,"Vat1l",NA,NA,NA
NA,NA,"Vax1",NA,NA,NA
NA,NA,"Vegfc",NA,NA,NA
NA,NA,"Vill",NA,NA,NA
NA,NA,"Vldlr",NA,NA,NA
NA,NA,"Vmac",NA,NA,NA
NA,NA,"Vps8",NA,NA,NA
NA,NA,"Vsig10",NA,NA,NA
NA,NA,"Vstm2b",NA,NA,NA
NA,NA,"Vwce",NA,NA,NA
NA,NA,"Wdr13",NA,NA,NA
NA,NA,"Wdr17",NA,NA,NA
NA,NA,"Wdr38",NA,NA,NA
NA,NA,"Wdr45",NA,NA,NA
NA,NA,"Wdr47",NA,NA,NA
NA,NA,"Wdr54",NA,NA,NA
NA,NA,"Wdr62",NA,NA,NA
NA,NA,"Wdr91",NA,NA,NA
NA,NA,"Wfikkn1",NA,NA,NA
NA,NA,"Wfs1",NA,NA,NA
NA,NA,"Whamm",NA,NA,NA
NA,NA,"Wnt4",NA,NA,NA
NA,NA,"Wsb2",NA,NA,NA
NA,NA,"Wscd1",NA,NA,NA
NA,NA,"Xkr5",NA,NA,NA
NA,NA,"Xlr3b",NA,NA,NA
NA,NA,"Xylb",NA,NA,NA
NA,NA,"Ybx2",NA,NA,NA
NA,NA,"Yod1",NA,NA,NA
NA,NA,"Zbed5",NA,NA,NA
NA,NA,"Zbtb45",NA,NA,NA
NA,NA,"Zbtb48",NA,NA,NA
NA,NA,"Zbtb49",NA,NA,NA
NA,NA,"Zbtb7b",NA,NA,NA
NA,NA,"Zbtb8b",NA,NA,NA
NA,NA,"Zc3h6",NA,NA,NA
NA,NA,"Zcwpw1",NA,NA,NA
NA,NA,"Zcwpw2",NA,NA,NA
NA,NA,"Zdhhc1",NA,NA,NA
NA,NA,"Zdhhc23",NA,NA,NA
NA,NA,"Zdhhc24",NA,NA,NA
NA,NA,"Zeb1",NA,NA,NA
NA,NA,"Zfand2a",NA,NA,NA
NA,NA,"Zfand4",NA,NA,NA
NA,NA,"Zfp11",NA,NA,NA
NA,NA,"Zfp111",NA,NA,NA
NA,NA,"Zfp119a",NA,NA,NA
NA,NA,"Zfp119b",NA,NA,NA
NA,NA,"Zfp169",NA,NA,NA
NA,NA,"Zfp189",NA,NA,NA
NA,NA,"Zfp202",NA,NA,NA
NA,NA,"Zfp235",NA,NA,NA
NA,NA,"Zfp27",NA,NA,NA
NA,NA,"Zfp276",NA,NA,NA
NA,NA,"Zfp28",NA,NA,NA
NA,NA,"Zfp287",NA,NA,NA
NA,NA,"Zfp316",NA,NA,NA
NA,NA,"Zfp319",NA,NA,NA
NA,NA,"Zfp324",NA,NA,NA
NA,NA,"Zfp335",NA,NA,NA
NA,NA,"Zfp354a",NA,NA,NA
NA,NA,"Zfp36",NA,NA,NA
NA,NA,"Zfp39",NA,NA,NA
NA,NA,"Zfp40",NA,NA,NA
NA,NA,"Zfp420",NA,NA,NA
NA,NA,"Zfp429",NA,NA,NA
NA,NA,"Zfp446",NA,NA,NA
NA,NA,"Zfp454",NA,NA,NA
NA,NA,"Zfp458",NA,NA,NA
NA,NA,"Zfp459",NA,NA,NA
NA,NA,"Zfp46",NA,NA,NA
NA,NA,"Zfp473",NA,NA,NA
NA,NA,"Zfp493",NA,NA,NA
NA,NA,"Zfp51",NA,NA,NA
NA,NA,"Zfp52",NA,NA,NA
NA,NA,"Zfp524",NA,NA,NA
NA,NA,"Zfp536",NA,NA,NA
NA,NA,"Zfp54",NA,NA,NA
NA,NA,"Zfp558",NA,NA,NA
NA,NA,"Zfp563",NA,NA,NA
NA,NA,"Zfp57",NA,NA,NA
NA,NA,"Zfp583",NA,NA,NA
NA,NA,"Zfp59",NA,NA,NA
NA,NA,"Zfp595",NA,NA,NA
NA,NA,"Zfp597",NA,NA,NA
NA,NA,"Zfp607a",NA,NA,NA
NA,NA,"Zfp61",NA,NA,NA
NA,NA,"Zfp623",NA,NA,NA
NA,NA,"Zfp626",NA,NA,NA
NA,NA,"Zfp628",NA,NA,NA
NA,NA,"Zfp653",NA,NA,NA
NA,NA,"Zfp667",NA,NA,NA
NA,NA,"Zfp689",NA,NA,NA
NA,NA,"Zfp691",NA,NA,NA
NA,NA,"Zfp703",NA,NA,NA
NA,NA,"Zfp707",NA,NA,NA
NA,NA,"Zfp715",NA,NA,NA
NA,NA,"Zfp72",NA,NA,NA
NA,NA,"Zfp758",NA,NA,NA
NA,NA,"Zfp772",NA,NA,NA
NA,NA,"Zfp775",NA,NA,NA
NA,NA,"Zfp786",NA,NA,NA
NA,NA,"Zfp790",NA,NA,NA
NA,NA,"Zfp791",NA,NA,NA
NA,NA,"Zfp811",NA,NA,NA
NA,NA,"Zfp839",NA,NA,NA
NA,NA,"Zfp874a",NA,NA,NA
NA,NA,"Zfp874b",NA,NA,NA
NA,NA,"Zfp882",NA,NA,NA
NA,NA,"Zfp9",NA,NA,NA
NA,NA,"Zfp937",NA,NA,NA
NA,NA,"Zfp94",NA,NA,NA
NA,NA,"Zfp940",NA,NA,NA
NA,NA,"Zfp941",NA,NA,NA
NA,NA,"Zfp947",NA,NA,NA
NA,NA,"Zfp948",NA,NA,NA
NA,NA,"Zfp951",NA,NA,NA
NA,NA,"Zfp954",NA,NA,NA
NA,NA,"Zfp956",NA,NA,NA
NA,NA,"Zfp959",NA,NA,NA
NA,NA,"Zfp963",NA,NA,NA
NA,NA,"Zfp971",NA,NA,NA
NA,NA,"Zfp983",NA,NA,NA
NA,NA,"Zfp984",NA,NA,NA
NA,NA,"Zfr2",NA,NA,NA
NA,NA,"Zhx3",NA,NA,NA
NA,NA,"Zkscan14",NA,NA,NA
NA,NA,"Zkscan2",NA,NA,NA
NA,NA,"Zkscan6",NA,NA,NA
NA,NA,"Zkscan7",NA,NA,NA
NA,NA,"Zmat4",NA,NA,NA
NA,NA,"Znfx1",NA,NA,NA
NA,NA,"Zscan2",NA,NA,NA
NA,NA,"Zscan20",NA,NA,NA
NA,NA,"Zscan25",NA,NA,NA
NA,NA,"Zscan29",NA,NA,NA
NA,NA,"Zswim9",NA,NA,NA
NA,NA,"Zxdb",NA,NA,NA
